2 C F0 93 59 1000
4 C F1 53 91 1000
6 C F2 54 43 1000
8 C F3 57 96 1000
10 C F4 32 83 1000
12 C F5 63 49 1000
14 C F6 4 66 1000
16 C F7 62 22 1000
18 C F8 93 17 1000
20 C F9 93 4 1000
22 C F10 36 91 1000
24 C F11 69 46 1000
26 C F12 88 56 1000
28 C F13 12 24 1000
30 C F14 62 28 1000
32 C F15 73 32 1000
34 C F16 77 96 1000
36 C F17 47 32 1000
38 C F18 78 71 1000
40 C F19 81 37 1000
42 C F20 27 85 1000
44 C F21 46 14 1000
46 C F22 30 28 1000
48 C F23 1 93 1000
50 C F24 7 10 1000
52 C F25 30 3 1000
54 C F26 32 52 1000
56 C F27 79 32 1000
58 C F28 38 71 1000
60 C F29 30 41 1000
738 C A368 38 3 1000 500
740 C A369 39 3 1000 500
742 C A370 40 3 1000 500
744 C A371 41 4 1000 500
746 C A372 42 3 1000 500
748 C A373 43 4 1000 500
750 C A374 44 4 1000 500
752 C A375 45 49 1000 500
754 C A376 46 3 1000 500
756 C A377 47 4 1000 500
758 C A378 48 3 1000 500
760 C A379 49 3 1000 500
762 C A380 50 3 1000 500
764 C A381 51 3 1000 500
766 C A382 52 3 1000 500
768 C A383 53 3 1000 500
770 C A384 54 4 1000 500
772 C A385 55 3 1000 500
774 C A386 56 1 1000 500
776 C A387 57 4 1000 500
778 C A388 58 3 1000 500
780 C A389 59 4 1000 500
782 C A390 60 3 1000 500
784 C A391 61 3 1000 500
786 C A392 62 3 1000 500
788 C A393 63 3 1000 500
790 C A394 64 3 1000 500
792 C A395 65 2 1000 500
794 C A396 66 4 1000 500
796 C A397 67 3 1000 500
798 C A398 68 3 1000 500
800 C A399 69 4 1000 500
802 C A400 70 3 1000 500
804 C A401 71 3 1000 500
806 C A402 72 3 1000 500
808 C A403 73 3 1000 500
810 C A404 74 3 1000 500
812 C A405 75 11 1000 500
814 C A406 76 3 1000 500
816 C A407 77 3 1000 500
818 C A408 78 4 1000 500
820 C A409 79 3 1000 500
822 C A410 80 3 1000 500
824 C A411 81 3 1000 500
826 C A412 82 3 1000 500
828 C A413 83 11 1000 500
830 C A414 84 4 1000 500
832 C A415 85 3 1000 500
834 C A416 86 3 1000 500
836 C A417 87 3 1000 500
838 C A418 88 3 1000 500
840 C A419 89 4 1000 500
842 C A420 90 3 1000 500
844 C A421 91 13 1000 500
846 C A422 92 3 1000 500
848 C A423 93 4 1000 500
850 C A424 94 3 1000 500
852 C A425 95 4 1000 500
854 C A426 96 2 1000 500
856 C A427 97 3 1000 500
858 C A428 98 3 1000 500
860 C A429 99 3 1000 500
862 C A430 0 18 1000 500
864 C A431 1 65 1000 500
866 C A432 2 3 1000 500
868 C A433 3 70 1000 500
870 C A434 4 18 1000 500
872 C A435 5 6 1000 500
874 C A436 6 5 1000 500
876 C A437 7 4 1000 500
878 C A438 8 4 1000 500
880 C A439 9 5 1000 500
882 C A440 10 4 1000 500
884 C A441 11 4 1000 500
886 C A442 12 2 1000 500
888 C A443 13 5 1000 500
890 C A444 14 4 1000 500
892 C A445 15 5 1000 500
894 C A446 16 5 1000 500
896 C A447 17 5 1000 500
898 C A448 18 2 1000 500
900 C A449 19 4 1000 500
902 C A450 20 4 1000 500
904 C A451 21 4 1000 500
906 C A452 22 8 1000 500
908 C A453 23 4 1000 500
910 C A454 24 5 1000 500
912 C A455 25 4 1000 500
914 C A456 26 5 1000 500
916 C A457 27 5 1000 500
918 C A458 28 5 1000 500
920 C A459 29 4 1000 500
922 C A460 30 5 1000 500
924 C A461 31 5 1000 500
926 C A462 32 3 1000 500
928 C A463 33 5 1000 500
930 C A464 34 4 1000 500
932 C A465 35 4 1000 500
934 C A466 36 4 1000 500
936 C A467 37 65 1000 500
938 C A468 38 4 1000 500
940 C A469 39 4 1000 500
942 C A470 40 5 1000 500
944 C A471 41 5 1000 500
946 C A472 42 4 1000 500
948 C A473 43 5 1000 500
950 C A474 44 5 1000 500
952 C A475 45 3 1000 500
954 C A476 46 4 1000 500
956 C A477 47 5 1000 500
958 C A478 48 4 1000 500
960 C A479 49 4 1000 500
962 C A480 50 4 1000 500
964 C A481 51 4 1000 500
966 C A482 52 4 1000 500
968 C A483 53 5 1000 500
970 C A484 54 5 1000 500
972 C A485 55 4 1000 500
974 C A486 56 3 1000 500
976 C A487 57 3 1000 500
978 C A488 58 5 1000 500
980 C A489 59 9 1000 500
982 C A490 60 4 1000 500
984 C A491 61 4 1000 500
986 C A492 62 4 1000 500
988 C A493 63 4 1000 500
990 C A494 64 4 1000 500
992 C A495 65 3 1000 500
994 C A496 66 45 1000 500
996 C A497 67 4 1000 500
998 C A498 68 4 1000 500
1000 C A499 69 5 1000 500
1002 C A500 70 4 1000 500
1004 C A501 71 4 1000 500
1006 C A502 72 4 1000 500
1008 C A503 73 4 1000 500
1010 C A504 74 4 1000 500
1012 C A505 75 2 1000 500
1014 C A506 76 5 1000 500
1016 C A507 77 4 1000 500
1018 C A508 78 5 1000 500
1020 C A509 79 4 1000 500
1022 C A510 80 4 1000 500
1024 C A511 81 4 1000 500
1026 C A512 82 4 1000 500
1028 C A513 83 37 1000 500
1030 C A514 84 5 1000 500
1032 C A515 85 4 1000 500
1034 C A516 86 4 1000 500
1036 C A517 87 4 1000 500
1038 C A518 88 4 1000 500
1040 C A519 89 5 1000 500
1042 C A520 90 4 1000 500
1044 C A521 91 35 1000 500
1046 C A522 92 4 1000 500
1048 C A523 93 5 1000 500
1050 C A524 94 4 1000 500
1052 C A525 95 5 1000 500
1054 C A526 96 45 1000 500
1056 C A527 97 4 1000 500
1058 C A528 98 4 1000 500
1060 C A529 99 4 1000 500
1062 C A530 0 65 1000 500
1064 C A531 1 70 1000 500
1066 C A532 2 5 1000 500
1068 C A533 3 8 1000 500
1070 C A534 4 65 1000 500
1072 C A535 5 7 1000 500
1074 C A536 6 7 1000 500
1076 C A537 7 5 1000 500
1078 C A538 8 5 1000 500
1080 C A539 9 6 1000 500
1082 C A540 10 5 1000 500
1084 C A541 11 5 1000 500
1086 C A542 12 5 1000 500
1088 C A543 13 6 1000 500
1090 C A544 14 5 1000 500
1092 C A545 15 6 1000 500
1094 C A546 16 6 1000 500
1096 C A547 17 6 1000 500
1098 C A548 18 4 1000 500
1100 C A549 19 5 1000 500
1102 C A550 20 5 1000 500
1104 C A551 21 5 1000 500
1106 C A552 22 14 1000 500
1108 C A553 23 5 1000 500
1110 C A554 24 6 1000 500
1112 C A555 25 5 1000 500
1114 C A556 26 6 1000 500
1116 C A557 27 6 1000 500
1118 C A558 28 6 1000 500
1120 C A559 29 5 1000 500
1122 C A560 30 6 1000 500
1124 C A561 31 6 1000 500
1126 C A562 32 4 1000 500
1128 C A563 33 6 1000 500
1130 C A564 34 5 1000 500
1132 C A565 35 5 1000 500
1134 C A566 36 5 1000 500
1136 C A567 37 70 1000 500
1138 C A568 38 5 1000 500
1140 C A569 39 5 1000 500
1142 C A570 40 6 1000 500
1144 C A571 41 6 1000 500
1146 C A572 42 5 1000 500
1148 C A573 43 6 1000 500
1150 C A574 44 6 1000 500
1152 C A575 45 5 1000 500
1154 C A576 46 5 1000 500
1156 C A577 47 6 1000 500
1158 C A578 48 5 1000 500
1160 C A579 49 5 1000 500
1162 C A580 50 5 1000 500
1164 C A581 51 5 1000 500
1166 C A582 52 5 1000 500
1168 C A583 53 6 1000 500
1170 C A584 54 6 1000 500
1172 C A585 55 5 1000 500
1174 C A586 56 4 1000 500
1176 C A587 57 5 1000 500
1178 C A588 58 6 1000 500
1180 C A589 59 2 1000 500
1182 C A590 60 5 1000 500
1184 C A591 61 5 1000 500
1186 C A592 62 5 1000 500
1188 C A593 63 5 1000 500
1190 C A594 64 5 1000 500
1192 C A595 65 4 1000 500
1194 C A596 66 3 1000 500
1196 C A597 67 5 1000 500
1198 C A598 68 5 1000 500
1200 C A599 69 6 1000 500
1202 C A600 70 5 1000 500
1204 C A601 71 5 1000 500
1206 C A602 72 5 1000 500
1208 C A603 73 5 1000 500
1210 C A604 74 5 1000 500
1212 C A605 75 4 1000 500
1214 C A606 76 6 1000 500
1216 C A607 77 5 1000 500
1218 C A608 78 6 1000 500
1220 C A609 79 5 1000 500
1222 C A610 80 5 1000 500
1224 C A611 81 5 1000 500
1226 C A612 82 5 1000 500
1228 C A613 83 2 1000 500
1230 C A614 84 6 1000 500
1232 C A615 85 5 1000 500
1234 C A616 86 5 1000 500
1236 C A617 87 5 1000 500
1238 C A618 88 5 1000 500
1240 C A619 89 6 1000 500
1242 C A620 90 5 1000 500
1244 C A621 91 2 1000 500
1246 C A622 92 5 1000 500
1248 C A623 93 6 1000 500
1250 C A624 94 5 1000 500
1252 C A625 95 6 1000 500
1254 C A626 96 18 1000 500
1256 C A627 97 5 1000 500
1258 C A628 98 5 1000 500
1260 C A629 99 5 1000 500
1262 C A630 0 70 1000 500
1264 C A631 1 7 1000 500
1266 C A632 2 6 1000 500
1268 C A633 3 14 1000 500
1270 C A634 4 70 1000 500
1272 C A635 5 8 1000 500
1274 C A636 6 8 1000 500
1276 C A637 7 6 1000 500
1278 C A638 8 6 1000 500
1280 C A639 9 7 1000 500
1282 C A640 10 6 1000 500
1284 C A641 11 6 1000 500
1286 C A642 12 6 1000 500
1288 C A643 13 7 1000 500
1290 C A644 14 6 1000 500
1292 C A645 15 7 1000 500
1294 C A646 16 7 1000 500
1296 C A647 17 7 1000 500
1298 C A648 18 5 1000 500
1300 C A649 19 6 1000 500
1302 C A650 20 6 1000 500
1304 C A651 21 6 1000 500
1306 C A652 22 2 1000 500
1308 C A653 23 6 1000 500
1310 C A654 24 7 1000 500
1312 C A655 25 6 1000 500
1314 C A656 26 7 1000 500
1316 C A657 27 7 1000 500
1318 C A658 28 7 1000 500
1320 C A659 29 6 1000 500
1322 C A660 30 7 1000 500
1324 C A661 31 7 1000 500
1326 C A662 32 5 1000 500
1328 C A663 33 7 1000 500
1330 C A664 34 6 1000 500
1332 C A665 35 6 1000 500
1334 C A666 36 6 1000 500
1336 C A667 37 77 1000 500
1338 C A668 38 6 1000 500
1340 C A669 39 6 1000 500
1342 C A670 40 7 1000 500
1344 C A671 41 7 1000 500
1346 C A672 42 6 1000 500
1348 C A673 43 7 1000 500
1350 C A674 44 7 1000 500
1352 C A675 45 6 1000 500
1354 C A676 46 6 1000 500
1356 C A677 47 7 1000 500
1358 C A678 48 6 1000 500
1360 C A679 49 6 1000 500
1362 C A680 50 6 1000 500
1364 C A681 51 6 1000 500
1366 C A682 52 6 1000 500
1368 C A683 53 7 1000 500
1370 C A684 54 7 1000 500
1372 C A685 55 6 1000 500
1374 C A686 56 5 1000 500
1376 C A687 57 6 1000 500
1378 C A688 58 7 1000 500
1380 C A689 59 5 1000 500
1382 C A690 60 6 1000 500
1384 C A691 61 6 1000 500
1386 C A692 62 6 1000 500
1388 C A693 63 6 1000 500
1390 C A694 64 6 1000 500
1392 C A695 65 5 1000 500
1394 C A696 66 5 1000 500
1396 C A697 67 6 1000 500
1398 C A698 68 6 1000 500
1400 C A699 69 7 1000 500
1402 C A700 70 6 1000 500
1404 C A701 71 6 1000 500
1406 C A702 72 6 1000 500
1408 C A703 73 6 1000 500
1410 C A704 74 6 1000 500
1412 C A705 75 5 1000 500
1414 C A706 76 7 1000 500
1416 C A707 77 6 1000 500
1418 C A708 78 7 1000 500
1420 C A709 79 6 1000 500
1422 C A710 80 6 1000 500
1424 C A711 81 6 1000 500
1426 C A712 82 6 1000 500
1428 C A713 83 4 1000 500
1430 C A714 84 7 1000 500
1432 C A715 85 6 1000 500
1434 C A716 86 6 1000 500
1436 C A717 87 6 1000 500
1438 C A718 88 6 1000 500
1440 C A719 89 7 1000 500
1442 C A720 90 6 1000 500
1444 C A721 91 5 1000 500
1446 C A722 92 6 1000 500
1448 C A723 93 7 1000 500
1450 C A724 94 6 1000 500
1452 C A725 95 7 1000 500
1454 C A726 96 65 1000 500
1456 C A727 97 6 1000 500
1458 C A728 98 6 1000 500
1460 C A729 99 6 1000 500
1462 C A730 0 7 1000 500
1464 C A731 1 8 1000 500
1466 C A732 2 7 1000 500
1468 C A733 3 35 1000 500
1470 C A734 4 7 1000 500
1472 C A735 5 9 1000 500
1474 C A736 6 9 1000 500
1476 C A737 7 9 1000 500
1478 C A738 8 9 1000 500
1480 C A739 9 8 1000 500
1482 C A740 10 8 1000 500
1484 C A741 11 7 1000 500
1486 C A742 12 7 1000 500
1488 C A743 13 8 1000 500
1490 C A744 14 7 1000 500
1492 C A745 15 8 1000 500
1494 C A746 16 8 1000 500
1496 C A747 17 8 1000 500
1498 C A748 18 6 1000 500
1500 C A749 19 7 1000 500
1502 C A750 20 7 1000 500
1504 C A751 21 7 1000 500
1506 C A752 22 5 1000 500
1508 C A753 23 8 1000 500
1510 C A754 24 8 1000 500
1512 C A755 25 7 1000 500
1514 C A756 26 8 1000 500
1516 C A757 27 8 1000 500
1518 C A758 28 8 1000 500
1520 C A759 29 7 1000 500
1522 C A760 30 8 1000 500
1524 C A761 31 8 1000 500
1526 C A762 32 6 1000 500
1528 C A763 33 8 1000 500
1530 C A764 34 7 1000 500
1532 C A765 35 7 1000 500
1534 C A766 36 7 1000 500
1536 C A767 37 2 1000 500
1538 C A768 38 7 1000 500
1540 C A769 39 7 1000 500
1542 C A770 40 8 1000 500
1544 C A771 41 8 1000 500
1546 C A772 42 7 1000 500
1548 C A773 43 8 1000 500
1550 C A774 44 8 1000 500
1552 C A775 45 7 1000 500
1554 C A776 46 7 1000 500
1556 C A777 47 8 1000 500
1558 C A778 48 7 1000 500
1560 C A779 49 7 1000 500
1562 C A780 50 7 1000 500
1564 C A781 51 7 1000 500
1566 C A782 52 7 1000 500
1568 C A783 53 8 1000 500
1570 C A784 54 8 1000 500
1572 C A785 55 7 1000 500
1574 C A786 56 6 1000 500
1576 C A787 57 7 1000 500
1578 C A788 58 8 1000 500
1580 C A789 59 6 1000 500
1582 C A790 60 7 1000 500
1584 C A791 61 7 1000 500
1586 C A792 62 7 1000 500
1588 C A793 63 7 1000 500
1590 C A794 64 7 1000 500
1592 C A795 65 6 1000 500
1594 C A796 66 6 1000 500
1596 C A797 67 7 1000 500
1598 C A798 68 7 1000 500
1600 C A799 69 8 1000 500
1602 C A800 70 7 1000 500
1604 C A801 71 7 1000 500
1606 C A802 72 7 1000 500
1608 C A803 73 7 1000 500
1610 C A804 74 7 1000 500
1612 C A805 75 6 1000 500
1614 C A806 76 8 1000 500
1616 C A807 77 7 1000 500
1618 C A808 78 8 1000 500
1620 C A809 79 7 1000 500
1622 C A810 80 7 1000 500
1624 C A811 81 7 1000 500
1626 C A812 82 7 1000 500
1628 C A813 83 5 1000 500
1630 C A814 84 8 1000 500
1632 C A815 85 7 1000 500
1634 C A816 86 7 1000 500
1636 C A817 87 7 1000 500
1638 C A818 88 7 1000 500
1640 C A819 89 8 1000 500
1642 C A820 90 7 1000 500
1644 C A821 91 6 1000 500
1646 C A822 92 7 1000 500
1648 C A823 93 8 1000 500
1650 C A824 94 7 1000 500
1652 C A825 95 8 1000 500
1654 C A826 96 70 1000 500
1656 C A827 97 7 1000 500
1658 C A828 98 7 1000 500
1660 C A829 99 7 1000 500
1662 C A830 0 8 1000 500
1664 C A831 1 14 1000 500
1666 C A832 2 8 1000 500
1668 C A833 3 77 1000 500
1670 C A834 4 8 1000 500
1672 C A835 5 10 1000 500
1674 C A836 6 10 1000 500
1676 C A837 7 11 1000 500
1678 C A838 8 10 1000 500
1680 C A839 9 10 1000 500
1682 C A840 10 9 1000 500
1684 C A841 11 8 1000 500
1686 C A842 12 8 1000 500
1688 C A843 13 9 1000 500
1690 C A844 14 9 1000 500
1692 C A845 15 9 1000 500
1694 C A846 16 9 1000 500
1696 C A847 17 9 1000 500
1698 C A848 18 7 1000 500
1700 C A849 19 9 1000 500
1702 C A850 20 8 1000 500
1704 C A851 21 8 1000 500
1706 C A852 22 6 1000 500
1708 C A853 23 9 1000 500
1710 C A854 24 9 1000 500
1712 C A855 25 8 1000 500
1714 C A856 26 9 1000 500
1716 C A857 27 9 1000 500
1718 C A858 28 9 1000 500
1720 C A859 29 8 1000 500
1722 C A860 30 9 1000 500
1724 C A861 31 9 1000 500
1726 C A862 32 7 1000 500
1728 C A863 33 9 1000 500
1730 C A864 34 8 1000 500
1732 C A865 35 8 1000 500
1734 C A866 36 8 1000 500
1736 C A867 37 4 1000 500
1738 C A868 38 8 1000 500
1740 C A869 39 8 1000 500
1742 C A870 40 9 1000 500
1744 C A871 41 9 1000 500
1746 C A872 42 8 1000 500
1748 C A873 43 9 1000 500
1750 C A874 44 9 1000 500
1752 C A875 45 8 1000 500
1754 C A876 46 8 1000 500
1756 C A877 47 9 1000 500
1758 C A878 48 8 1000 500
1760 C A879 49 8 1000 500
1762 C A880 50 8 1000 500
1764 C A881 51 8 1000 500
1766 C A882 52 8 1000 500
1768 C A883 53 9 1000 500
1770 C A884 54 9 1000 500
